permno,prc,ticker,comnam,ym
86868,156.1399993896484,GS,GOLDMAN SACHS GROUP INC,2010m11
84398,125.75,SPY,SPDR S & P 500 E T F TRUST,2010m12
84788,9,AMZN,AMAZON COM INC,2010m12
86868,168.1600036621094,GS,GOLDMAN SACHS GROUP INC,2010m12
84398,128.6799926757813,SPY,SPDR S & P 500 E T F TRUST,2011m1
84788,8.481999969482422,AMZN,AMAZON COM INC,2011m1
86868,163.6199951171875,GS,GOLDMAN SACHS GROUP INC,2011m1
84398,133.1499938964844,SPY,SPDR S & P 500 E T F TRUST,2011m2
84788,8.664499664306641,AMZN,AMAZON COM INC,2011m2
86868,163.7799987792969,GS,GOLDMAN SACHS GROUP INC,2011m2
84398,132.5899963378906,SPY,SPDR S & P 500 E T F TRUST,2011m3
84788,9.006500244140625,AMZN,AMAZON COM INC,2011m3
86868,158.6000061035156,GS,GOLDMAN SACHS GROUP INC,2011m3
84398,136.4299926757813,SPY,SPDR S & P 500 E T F TRUST,2011m4
84788,9.790499877929687,AMZN,AMAZON COM INC,2011m4
86868,151.0099945068359,GS,GOLDMAN SACHS GROUP INC,2011m4
84398,134.8999938964844,SPY,SPDR S & P 500 E T F TRUST,2011m5
84788,9.834500122070313,AMZN,AMAZON COM INC,2011m5
86868,140.7299957275391,GS,GOLDMAN SACHS GROUP INC,2011m5
84398,131.9700012207031,SPY,SPDR S & P 500 E T F TRUST,2011m6
84788,10.2245002746582,AMZN,AMAZON COM INC,2011m6
86868,133.0899963378906,GS,GOLDMAN SACHS GROUP INC,2011m6
84398,129.3300018310547,SPY,SPDR S & P 500 E T F TRUST,2011m7
84788,11.12600021362305,AMZN,AMAZON COM INC,2011m7
86868,134.9700012207031,GS,GOLDMAN SACHS GROUP INC,2011m7
84398,122.2200012207031,SPY,SPDR S & P 500 E T F TRUST,2011m8
84788,10.76149978637695,AMZN,AMAZON COM INC,2011m8
86868,116.2200012207031,GS,GOLDMAN SACHS GROUP INC,2011m8
84398,113.1500015258789,SPY,SPDR S & P 500 E T F TRUST,2011m9
84788,10.81149978637695,AMZN,AMAZON COM INC,2011m9
86868,94.55000305175781,GS,GOLDMAN SACHS GROUP INC,2011m9
84398,125.5,SPY,SPDR S & P 500 E T F TRUST,2011m10
84788,10.6754997253418,AMZN,AMAZON COM INC,2011m10
86868,109.5500030517578,GS,GOLDMAN SACHS GROUP INC,2011m10
84398,124.9899978637695,SPY,SPDR S & P 500 E T F TRUST,2011m11
84788,9.61449966430664,AMZN,AMAZON COM INC,2011m11
86868,95.86000061035156,GS,GOLDMAN SACHS GROUP INC,2011m11
